course_title,course_organization,course_Certificate_type,course_rating,course_difficulty,course_students_enrolled
IBM Data Science,IBM,PROFESSIONAL CERTIFICATE,4.6,Beginner,480000.0
Introduction to Data Science,IBM,SPECIALIZATION,4.6,Beginner,310000.0
The Science of Well-Being,Yale University,COURSE,4.9,Mixed,2500000.0
Python for Everybody,University of Michigan,SPECIALIZATION,4.8,Beginner,1500000.0
Google IT Support,Google,PROFESSIONAL CERTIFICATE,4.8,Beginner,350000.0
Deep Learning,deeplearning.ai,SPECIALIZATION,4.8,Intermediate,690000.0
Machine Learning,Stanford University,COURSE,4.9,Mixed,3200000.0
Business Foundations,University of Pennsylvania,SPECIALIZATION,4.7,Beginner,510000.0
Applied Data Science,IBM,SPECIALIZATION,4.6,Beginner,220000.0
Cloud Engineering with Google Cloud,Google Cloud,PROFESSIONAL CERTIFICATE,4.7,Intermediate,310000.0
Architecting with Google Compute Engine,Google Cloud,SPECIALIZATION,4.7,Intermediate,310000.0
Excel Skills for Business,Macquarie University,SPECIALIZATION,4.9,Beginner,240000.0
IBM Applied AI,IBM,PROFESSIONAL CERTIFICATE,4.6,Beginner,220000.0
Data Science,Johns Hopkins University,SPECIALIZATION,4.5,Beginner,830000.0
Financial Markets,Yale University,COURSE,4.8,Beginner,470000.0
Data Science: Foundations using R,Johns Hopkins University,SPECIALIZATION,4.6,Beginner,740000.0
Finance & Quantitative Modeling for Analysts,University of Pennsylvania,SPECIALIZATION,4.5,Beginner,260000.0
Business Analytics,University of Pennsylvania,SPECIALIZATION,4.6,Beginner,280000.0
Developing Applications with Google Cloud Platform,Google Cloud,SPECIALIZATION,4.7,Intermediate,300000.0
Security in Google Cloud Platform,Google Cloud,SPECIALIZATION,4.7,Intermediate,300000.0
Networking in Google Cloud,Google Cloud,SPECIALIZATION,4.7,Intermediate,290000.0
COVID-19 Contact Tracing,Johns Hopkins University,COURSE,4.9,Beginner,220000.0
Data Engineering with Google Cloud,Google Cloud,PROFESSIONAL CERTIFICATE,4.6,Intermediate,120000.0
Business and Financial Modeling,University of Pennsylvania,SPECIALIZATION,4.5,Beginner,160000.0
"Data Engineering, Big Data, and Machine Learning on GCP",Google Cloud,SPECIALIZATION,4.6,Intermediate,120000.0
Google IT Automation with Python,Google,PROFESSIONAL CERTIFICATE,4.7,Beginner,93000.0
Applied Data Science with Python,University of Michigan,SPECIALIZATION,4.5,Intermediate,480000.0
TensorFlow in Practice,deeplearning.ai,SPECIALIZATION,4.7,Intermediate,170000.0
Digital Marketing,University of Illinois at Urbana-Champaign,SPECIALIZATION,4.6,Beginner,380000.0
Introduction to Psychology,Yale University,COURSE,4.9,Beginner,270000.0
Project Management Principles and Practices,"University of California, Irvine",SPECIALIZATION,4.7,Beginner,230000.0
Project Management & Other Tools for Career Development,"University of California, Irvine",SPECIALIZATION,4.6,Beginner,440000.0
Foundations of Positive Psychology,University of Pennsylvania,SPECIALIZATION,4.8,Beginner,89000.0
Entrepreneurship,University of Pennsylvania,SPECIALIZATION,4.8,Beginner,110000.0
IBM AI Engineering,IBM,PROFESSIONAL CERTIFICATE,4.6,Intermediate,140000.0
AI for Medicine,deeplearning.ai,SPECIALIZATION,4.7,Intermediate,13000.0
Improve Your English Communication Skills,Georgia Institute of Technology,SPECIALIZATION,4.7,Beginner,610000.0
Psychological First Aid,Johns Hopkins University,COURSE,4.8,Mixed,190000.0
Excel to MySQL: Analytic Techniques for Business,Duke University,SPECIALIZATION,4.6,Beginner,490000.0
Data Analysis and Presentation Skills: the PwC Approach,PwC,SPECIALIZATION,4.6,Beginner,220000.0
Successful Negotiation: Essential Strategies and Skills,University of Michigan,COURSE,4.8,Mixed,750000.0
Technical Support Fundamentals,Google,COURSE,4.8,Beginner,280000.0
Web Design for Everybody: Basics of Web Development & Coding,University of Michigan,SPECIALIZATION,4.7,Beginner,280000.0
AWS Fundamentals,Amazon Web Services,SPECIALIZATION,4.6,Beginner,130000.0
Career Success,"University of California, Irvine",SPECIALIZATION,4.4,Beginner,790000.0
Java Programming and Software Engineering Fundamentals,Duke University,SPECIALIZATION,4.6,Beginner,380000.0
UI / UX Design,California Institute of the Arts,SPECIALIZATION,4.7,Beginner,68000.0
Programming for Everybody (Getting Started with Python),University of Michigan,COURSE,4.8,Mixed,1300000.0
Construction Management,Columbia University,SPECIALIZATION,4.7,Beginner,61000.0
Social Media Marketing,Northwestern University,SPECIALIZATION,4.6,Beginner,130000.0
Supply Chain Management,Rutgers the State University of New Jersey,SPECIALIZATION,4.7,Beginner,82000.0
Achieving Personal and Professional Success,University of Pennsylvania,SPECIALIZATION,4.7,Beginner,110000.0
Human Resource Management: HR for People Managers,University of Minnesota,SPECIALIZATION,4.7,Beginner,98000.0
Digital Product Management,University of Virginia,SPECIALIZATION,4.7,Beginner,140000.0
AI For Everyone,deeplearning.ai,COURSE,4.8,Beginner,350000.0
Mathematics for Machine Learning,Imperial College London,SPECIALIZATION,4.6,Beginner,150000.0
Arizona State University TESOL,Arizona State University,PROFESSIONAL CERTIFICATE,4.9,Beginner,150000.0
Primeros Auxilios Psicológicos (PAP),Universitat Autònoma de Barcelona,COURSE,4.8,Mixed,280000.0
AI Foundations for Everyone,IBM,SPECIALIZATION,4.7,Beginner,61000.0
Creative Writing,Wesleyan University,SPECIALIZATION,4.6,Beginner,140000.0
Epidemiology in Public Health Practice,Johns Hopkins University,SPECIALIZATION,4.7,Beginner,31000.0
